Condition,ID,time,extraordinary
0,1,0,1
0,1,1,5
0,2,0,3
0,2,1,2
0,3,0,1
0,3,1,4
0,4,0,1
0,4,1,3
0,5,0,5
0,5,1,6
0,6,0,2
0,6,1,2
0,7,0,2
0,7,1,5
0,8,0,3
0,8,1,4
0,9,0,4
0,9,1,5
0,10,0,6
0,10,1,2
0,11,0,3
0,11,1,4
0,12,0,1
0,12,1,4
0,13,0,1
0,13,1,5
0,14,0,3
0,14,1,5
0,15,0,5
0,15,1,3
0,16,0,5
0,16,1,6
0,17,0,3
0,17,1,6
0,18,0,1
0,18,1,4
0,19,0,5
0,19,1,5
0,20,0,2
0,20,1,5
0,21,0,4
0,21,1,4
0,22,0,5
0,22,1,3
0,23,0,2
0,23,1,2
0,24,0,1
0,24,1,5
0,25,0,1
0,25,1,5
0,26,0,2
0,26,1,2
0,27,0,1
0,27,1,1
0,28,0,3
0,28,1,5
0,29,0,3
0,29,1,4
0,30,0,5
0,30,1,4
0,31,0,5
0,31,1,4
0,32,0,3
0,32,1,4
0,33,0,1
0,33,1,1
0,34,0,4
0,34,1,5
0,35,0,2
0,35,1,4
0,36,0,3
0,36,1,5
0,37,0,2
0,37,1,4
0,38,0,2
0,38,1,5
0,39,0,3
0,39,1,3
0,40,0,4
0,40,1,5
0,41,0,2
0,41,1,3
0,42,0,3
0,42,1,3
0,43,0,4
0,43,1,4
0,44,0,4
0,44,1,5
0,45,0,2
0,45,1,3
0,46,0,3
0,46,1,3
0,47,0,2
0,47,1,1
0,48,0,1
0,48,1,3
0,49,0,2
0,49,1,4
0,50,0,5
0,50,1,6
0,51,0,1
0,51,1,4
0,52,0,4
0,52,1,5
0,53,0,1
0,53,1,2
0,54,0,2
0,54,1,4
0,55,0,1
0,55,1,3
0,56,0,2
0,56,1,4
0,57,0,2
0,57,1,4
0,58,0,5
0,58,1,5
0,59,0,4
0,59,1,5
0,60,0,4
0,60,1,5
0,61,0,2
0,61,1,3
0,62,0,3
0,62,1,5
0,63,0,2
0,63,1,4
0,64,0,1
0,64,1,4
1,65,0,4
1,65,1,4
1,66,0,2
1,66,1,3
1,67,0,7
1,67,1,6
1,68,0,4
1,68,1,4
1,69,0,5
1,69,1,6
1,70,0,4
1,70,1,3
1,71,0,6
1,71,1,5
1,72,0,5
1,72,1,5
1,73,0,5
1,73,1,5
1,74,0,5
1,74,1,5
1,75,0,7
1,75,1,5
1,76,0,3
1,76,1,3
1,77,0,5
1,77,1,5
1,78,0,6
1,78,1,6
1,79,0,3
1,79,1,4
1,80,0,2
1,80,1,5
1,81,0,5
1,81,1,5
1,82,0,4
1,82,1,5
1,83,0,3
1,83,1,5
1,84,0,4
1,84,1,5
1,85,0,5
1,85,1,5
1,86,0,5
1,86,1,6
1,87,0,4
1,87,1,5
1,88,0,5
1,88,1,4
1,89,0,1
1,89,1,2
1,90,0,5
1,90,1,5
1,91,0,5
1,91,1,6
1,92,0,6
1,92,1,4
1,93,0,4
1,93,1,3
1,94,0,4
1,94,1,4
1,95,0,4
1,95,1,4
1,96,0,3
1,96,1,4
1,97,0,5
1,97,1,5
1,98,0,5
1,98,1,5
1,99,0,4
1,99,1,5
1,100,0,2
1,100,1,5
1,101,0,5
1,101,1,5
1,102,0,3
1,102,1,6
1,103,0,4
1,103,1,4
1,104,0,3
1,104,1,4
1,105,0,3
1,105,1,6
1,106,0,4
1,106,1,2
1,107,0,2
1,107,1,4
1,108,0,5
1,108,1,1
1,109,0,6
1,109,1,5
1,110,0,6
1,110,1,4
1,111,0,6
1,111,1,6
1,112,0,6
1,112,1,5
1,113,0,4
1,113,1,4
1,114,0,5
1,114,1,4
1,115,0,6
1,115,1,6
1,116,0,5
1,116,1,2
1,117,0,2
1,117,1,4
1,118,0,3
1,118,1,3
1,119,0,6
1,119,1,4
1,120,0,5
1,120,1,6
1,121,0,3
1,121,1,4
1,122,0,5
1,122,1,5
1,123,0,1
1,123,1,5
1,124,0,5
1,124,1,5
1,125,0,5
1,125,1,7
1,126,0,4
1,126,1,4
1,127,0,3
1,127,1,5
1,128,0,6
1,128,1,4
1,129,0,4
1,129,1,3
1,130,0,6
1,130,1,5
